KODE, NAMA PRODUK, KODE GENUS, KONDISI, GRADE, QTY PANEN, ALOKASI, TERDISTRIBUSI, QTY, ESTIMASI BULAN PANEN, STATUS
AV, Vanda No ID, AV, Pembesaran Seedling, -, 910, 100, 336, 910, Desember 2025, Belum
AP, Phalaenopsis No ID, AP, Pembesaran Seedling, -, 327, 100, 0, 227, Januari 2026, Belum
ADB, Dendrobium Bulat No ID, ADB, Pembesaran Seedling, -, 0, 100, 111, 0, Januari 2026, Belum
AD, Dendrobium No ID, AD, Pembesaran Seedling, -, 6, 100, 1.065, 6, Desember 2025, Belum
AD, Dendrobium No ID, AD, Pembesaran Seedling, -, 491, 100, 1.065, 491, Januari 2026, Belum
AP, Phalaenopsis No ID, AP, Pembesaran Seedling, -, 2.577, 100, 0, 2.477, Februari 2026, Belum
AV, Vanda No ID, AV, Pembesaran Seedling, -, -103, 100, 336, -103, Februari 2026, Belum
AC, Cattleya No ID, AC, Pembesaran Seedling, -, 122, 100, 1.454, 122, Maret 2026, Belum
AC, Cattleya No ID, AC, Pembesaran Seedling, -, 3.304, 100, 1.454, 3.304, Mei 2026, Belum
AD, Dendrobium No ID, AD, Pembesaran Seedling, -, 840, 100, 1.065, 840, Maret 2026, Belum
AC, Cattleya No ID, AC, Pembesaran Seedling, -, 0, 100, 1.454, 0, Desember 2025, Belum
ADB, Dendrobium Bulat No ID, ADB, Pembesaran Seedling, -, 1.278, 100, 111, 1.278, April 2026, Belum
ADB, Dendrobium Bulat No ID, ADB, Pembesaran Seedling, -, 444, 100, 111, 444, Mei 2026, Belum
AD, Dendrobium No ID, AD, Pembesaran Seedling, -, 4.033, 100, 1.065, 4.033, Mei 2026, Belum
AC, Cattleya No ID, AC, Pembesaran Seedling, -, 724, 100, 1.454, 724, Mei 2026, Belum
AD, Dendrobium No ID, AD, Pembesaran Seedling, -, 31, 100, 1.065, 31, Februari 2026, Belum
AD, Dendrobium No ID, AD, Pembesaran Seedling, -, 3.384, 100, 1.065, 3.384, Juli 2026, Belum
ADB, Dendrobium Bulat No ID, ADB, Pembesaran Seedling, -, -67, 100, 111, -67, Juli 2026, Belum
